id,customer_id,created_at,status,total_price
7b64480f-deb2-4865-a9e1-49ba895f0010,b0c64464-bcf0-4603-bd88-443941311617,2024-12-17 10:48:09,returned,679.04
6bcaa4e7-fd85-48d5-a39b-1df0e3ba7a93,1468c83b-e48e-4c9d-bcb9-fd28c23182a2,2025-01-10 20:28:24,returned,437.81
42597ca3-f98f-41b0-933a-69ad6a3f7c82,7b3fd76e-87ea-495b-a2a2-9a8731f6fc3f,2025-01-04 00:15:55,fulfilled,158.32
03acfe65-5ea8-4d19-bd82-77b99ea3dd3e,fbbbc1b1-2e2c-48b3-8254-09592b927439,2025-07-14 22:45:31,fulfilled,342.8
4d34be4b-6057-49b0-85df-7bd0d0aefd55,2a98b1e2-cf82-4017-9e69-bf14faece4c3,2025-07-06 04:08:03,cancelled,561.21
4e24cd44-f802-4841-af73-36d68d35a06a,36263bd2-7a92-4397-9fa9-427d201d23b1,2023-02-07 08:05:42,fulfilled,539.2
9b694ced-cf83-4b7d-9081-925633ad50a8,1bdb1df9-a0b7-4744-a8bb-a41c8760a906,2025-07-01 01:44:26,cancelled,748.31
88ea32c2-bab5-4eed-a4a9-579621280e7e,b09c6b36-f502-482d-8208-8a16af7eb797,2023-10-19 20:14:10,returned,849.55
4908bc56-2721-4e23-96c1-011aaf007f83,1ae63992-6ed6-4224-a09c-09f0216d4561,2025-02-26 13:30:58,returned,648.42
44023497-4b8f-4864-82c9-1833270d270b,d2303c85-6787-41eb-862b-3ed62ebdcacf,2023-08-19 20:52:55,returned,401.27
01c0ff19-179c-4162-bce3-5d909cc3e541,6f90266e-a650-40ca-b190-c8bfc81afa3e,2024-07-11 01:19:07,cancelled,707.13
6b9c00fd-8af9-48af-85dc-3a48f4b58c43,0975374d-73b4-4bf1-932b-fddb715615d9,2025-07-16 10:36:32,returned,528.57
07642639-7ebc-4ab3-a3a9-06e05cd684dd,b8370297-a60d-468d-b435-ec235af91c17,2025-06-16 18:55:46,fulfilled,661.16
fb4693d7-72be-46f2-8f64-9750d46996fe,73ec0de5-5a33-4542-bba2-b405213e6ed8,2025-04-05 02:51:30,fulfilled,619.74
4407bc08-386c-4fec-ab8c-07c245255fc2,c878acdd-9a9f-4844-90dc-716442804dce,2024-09-23 17:50:32,fulfilled,825.23
4fa66b54-ab27-4a84-98d1-df7d1f76bc15,a9e732bb-f282-46eb-aa73-b037e1a3500d,2023-04-09 07:31:14,fulfilled,461.82
ed4ec462-c2c5-480e-a805-23fa338baa7b,7243cef8-388e-434f-a686-03e01ba1ac57,2025-05-29 10:43:01,fulfilled,439.57
b125f8b7-1fe4-4965-a580-5cec7d2119ef,1f5becfd-6138-4d1d-b02f-841a2c2fe617,2024-04-06 00:07:34,cancelled,150.05
f8deabbc-a9cf-4e74-9a46-7b545a5e973c,ed73ed1a-1a9b-4184-9ec7-a3e74f029637,2023-11-11 08:38:10,fulfilled,566.25
4918128f-70b3-440c-a950-cdd07f417dd3,1d33f795-7a15-4edf-9f15-1614cf369748,2025-03-23 15:42:32,fulfilled,313.21
6e7ea015-132c-45fc-be87-378290044194,a490b15a-489a-4092-b5de-e01a6f677807,2025-03-10 17:19:24,fulfilled,367.98
5ea3dcf5-d310-484f-92d4-450890c9b197,bb16aa76-3041-459c-8f70-85619d827be0,2025-03-17 01:48:22,returned,808.34
47365829-7d96-49af-883e-9b6f80c4e6b2,0c440914-fc7d-4208-94bc-d7d0b9f09921,2023-06-12 18:50:09,fulfilled,971.71
434e2caa-1da3-49e4-a509-4386244a7461,2422f151-902d-45f4-a939-ce327b36e7de,2023-08-21 07:35:35,fulfilled,156.42
967058b0-a9c7-4cba-bdcd-f3a9f443ac40,4681a913-c096-45c4-a4aa-e6e08b5035c0,2025-03-16 07:41:33,returned,215.88
88edd271-1b40-4a5a-bfda-132a59a31ad5,48ec9fc9-171d-4ae6-a77c-63d3a8a6539b,2022-12-30 11:14:57,returned,543.94
ad33b205-7ea5-4082-be1c-f5e2b26a5e8a,83d5dc5e-20b3-43cc-9216-67b3849da169,2024-11-12 12:35:50,fulfilled,576.32
a799d9c8-1832-4259-9315-8b468f9c2235,4735261b-9ac8-43d0-8157-20198b75ad6e,2024-08-21 20:02:32,fulfilled,928.89
f55a737a-09b5-4bf5-9787-eca6c4c774ff,89ae5458-2385-4cb0-ae0e-e7503e3a055e,2025-06-16 14:34:37,returned,247.34
758b24c3-286b-41f3-a399-336bb9e2ff90,aeb6b00b-d85c-4af7-92e3-a73deeb97a56,2025-02-04 08:57:31,fulfilled,316.06
07197934-8465-4d32-beae-4e4e5587ac5f,12286502-3ee0-462c-ae2a-7a92533e481d,2025-01-08 11:29:59,fulfilled,243.29
524b0221-248c-4aff-99a9-c5b865b22129,68cae57b-38bd-4adb-bf73-85c4913f6ea1,2025-01-07 01:10:54,cancelled,970.88
99547c3e-42a2-4eba-9fdc-5c1df02562f5,65b34ff4-5806-4557-92dc-3eba6913d737,2025-06-15 11:07:48,fulfilled,272.94
c0102265-8de7-4cbd-87ea-7367c31b43e3,a5648537-300e-4e14-bd58-0eec0da3b2a1,2025-07-13 06:02:09,fulfilled,356.49
26e41d16-3a1e-49ec-85e9-670a20571d67,3ee4f7ce-c8c6-43fe-a595-efa3067e4608,2025-01-12 22:24:32,fulfilled,281.87
7aef562f-6d0f-4e05-8fa8-12f6c0719393,66b8b626-ee84-4d0e-bb48-de6aab338ce6,2024-10-09 15:25:44,cancelled,1264.26
46d74e66-cfcc-4c53-b186-ba259ad7d110,2151cefd-ab71-4451-b212-24159ded7e45,2024-03-13 15:24:34,cancelled,379.48
4a553e9e-ad62-4a52-8a7b-5157b589009d,ef0625ba-8642-4139-b607-a30f0a224725,2024-11-23 12:59:59,fulfilled,520.76
31a8ab53-0e03-409a-8a67-26ad31279e60,7024845b-e286-4f02-a304-f6729d95c227,2025-05-16 23:52:36,returned,591.9
0069eb2a-4571-4959-a997-5c81671562de,cfb244bd-1801-42d5-aa45-0c0ec62f2f9f,2023-07-11 12:50:36,fulfilled,61.12
