order_id,user_id,order_date,status,amount
1001,96,2024-10-15 06:50:24,completed,45.51
1002,15,2025-05-25 08:54:46,completed,82.43
1003,134,2025-02-16 09:16:32,shipped,95.79
1004,86,2025-02-13 02:17:32,completed,270.93
1005,74,2024-07-31 01:36:26,completed,391.57
1006,65,2024-12-22 11:12:12,preparation,494.17
1007,146,2025-04-25 19:55:22,preparation,161.64
1008,39,2024-08-23 10:02:30,completed,233.83
1009,58,2024-12-13 07:00:31,completed,188.54
1010,11,2024-12-18 05:28:36,completed,375.74
1011,100,2024-12-12 18:14:05,cancelled,0.0
1012,59,2024-08-14 11:13:27,completed,386.95
1013,37,2024-08-10 16:15:30,completed,404.67
1014,30,2025-01-07 15:20:24,completed,376.37
1015,26,2024-11-17 06:21:24,cancelled,0.0
1016,34,2025-01-23 19:02:24,cancelled,0.0
1017,38,2024-10-30 17:54:55,completed,273.59
1018,114,2025-05-14 13:48:53,completed,208.62
1019,84,2025-05-20 09:33:28,shipped,211.91
1020,118,2025-05-26 19:33:09,completed,397.41
1021,23,2025-01-23 12:37:32,completed,124.79
1022,26,2025-03-20 13:57:02,shipped,435.82
1023,43,2025-06-12 21:45:46,completed,488.88
1024,104,2025-01-02 06:15:25,completed,107.52
1025,100,2025-02-20 11:41:54,completed,120.03
1026,31,2025-04-27 18:59:44,cancelled,0.0
1027,6,2025-05-24 09:54:10,preparation,59.61
1028,78,2024-09-26 07:34:09,preparation,250.34
1029,62,2024-11-15 15:17:04,shipped,482.13
1030,2,2024-11-05 11:03:45,completed,90.76
1031,11,2025-07-13 19:04:50,shipped,290.78
1032,62,2025-05-22 07:35:53,completed,493.19
1033,79,2025-06-18 03:28:42,completed,54.25
1034,121,2024-09-23 15:58:26,shipped,497.51
1035,131,2025-05-22 18:55:31,completed,135.88
1036,61,2024-07-31 11:03:09,completed,265.84
1037,87,2025-02-26 10:17:13,shipped,219.76
1038,36,2024-12-30 03:47:06,shipped,329.69
1039,139,2025-03-03 15:49:24,completed,390.13
1040,108,2025-04-06 07:42:41,completed,336.12
1041,8,2024-11-06 02:16:40,shipped,69.69
1042,141,2025-02-12 03:59:37,completed,442.42
1043,91,2025-01-22 20:50:58,shipped,213.27
1044,37,2024-08-07 05:25:47,completed,147.68
1045,70,2025-06-22 09:00:33,completed,441.27
1046,125,2025-06-01 21:42:10,completed,371.49
1047,63,2024-10-13 18:23:26,shipped,307.1
1048,16,2024-12-24 04:31:49,completed,166.02
1049,108,2025-06-10 05:09:07,completed,64.11
1050,54,2025-05-24 17:11:02,preparation,25.77
1051,126,2024-08-27 22:31:52,shipped,422.12
1052,135,2025-05-29 08:31:27,shipped,170.53
1053,16,2025-01-11 18:55:09,cancelled,0.0
1054,126,2025-07-11 22:48:53,preparation,130.51
1055,141,2025-06-26 23:58:54,preparation,187.02
